X,f(X)
-12.566370614359172,1.0
-12.565370614359173,1.0000005000002083
-12.564370614359174,1.0000020000033332
-12.563370614359174,1.0000045000168751
-12.562370614359175,1.0000080000533336
-12.561370614359175,1.0000125001302096
-12.560370614359176,1.0000180002700039
-12.559370614359176,1.0000245005002182
-12.558370614359177,1.0000320008533554
-12.557370614359177,1.00004050136692
-12.556370614359178,1.000050002083418
-12.555370614359179,1.0000605030503582
-12.55437061435918,1.000072004320253
-12.55337061435918,1.0000845059506172
-12.55237061435918,1.0000980080039712
-12.55137061435918,1.00011251054784
-12.550370614359181,1.0001280136547548
-12.549370614359182,1.0001445174022534
-12.548370614359182,1.0001620218728817
-12.547370614359183,1.0001805271541946
-12.546370614359184,1.0002000333387562
-12.545370614359184,1.0002205405241424
-12.544370614359185,1.0002420488129407
-12.543370614359185,1.0002645583127525
-12.542370614359186,1.0002880691361942
-12.541370614359186,1.0003125814008973
-12.540370614359187,1.0003380952295122
-12.539370614359187,1.0003646107497075
-12.538370614359188,1.0003921280941728
-12.537370614359189,1.0004206474006199
-12.536370614359189,1.0004501688117846
-12.53537061435919,1.0004806924754284
-12.53437061435919,1.0005122185443405
-12.53337061435919,1.000544747176339
-12.532370614359191,1.0005782785342736
-12.531370614359192,1.0006128127860272
-12.530370614359192,1.0006483501045182
-12.529370614359193,1.0006848906677024
-12.528370614359194,1.0007224346585752
-12.527370614359194,1.000760982265174
-12.526370614359195,1.00080053368058
-12.525370614359195,1.0008410891029214
-12.524370614359196,1.0008826487353752
-12.523370614359196,1.0009252127861694
-12.522370614359197,1.0009687814685866
-12.521370614359197,1.0010133550009659
-12.520370614359198,1.0010589336067053
-12.519370614359199,1.0011055175142654
-12.518370614359199,1.001153106957171
-12.5173706143592,1.0012017021740152
-12.5163706143592,1.001251303408461
-12.5153706143592,1.0013019109092451
-12.514370614359201,1.0013535249301815
-12.513370614359202,1.0014061457301633
-12.512370614359202,1.0014597735731667
-12.511370614359203,1.001514408728254
-12.510370614359204,1.001570051469577
-12.509370614359204,1.0016267020763798
-12.508370614359205,1.001684360833004
-12.507370614359205,1.0017430280288893
-12.506370614359206,1.0018027039585802
-12.505370614359206,1.0018633889217268
-12.504370614359207,1.0019250832230906
-12.503370614359207,1.001987787172547
-12.502370614359208,1.0020515010850897
-12.501370614359208,1.0021162252808262
-12.500370614359209,1.0021819600850133
-12.49937061435921,1.0022487058280147
-12.49837061435921,1.0023164628453367
-12.49737061435921,1.002385231477622
-12.496370614359211,1.002455012070657
-12.495370614359212,1.0025258049753736
-12.494370614359212,1.002597610547855
-12.493370614359213,1.0026704291493393
-12.492370614359213,1.0027442611462252
-12.491370614359214,1.0028191069100747
-12.490370614359215,1.0028949668176188
-12.489370614359215,1.0029718412507622
-12.488370614359216,1.0030497305965873
-12.487370614359216,1.0031286352473594
-12.486370614359217,1.003208555600532
-12.485370614359217,1.0032894920587505
-12.484370614359218,1.0033714450298588
-12.483370614359218,1.0034544149269027
-12.482370614359219,1.003538402168136
-12.48137061435922,1.0036234071770254
-12.48037061435922,1.0037094303822554
-12.47937061435922,1.0037964722177344
-12.478370614359221,1.0038845331225994
-12.477370614359222,1.0039736135412214
-12.476370614359222,1.0040637139232114
-12.475370614359223,1.0041548347234253
-12.474370614359223,1.0042469764019704
-12.473370614359224,1.00434013942421
-12.472370614359225,1.00443432426077
-12.471370614359225,1.0045295313875446
-12.470370614359226,1.004625761285702
-12.469370614359226,1.0047230144416903
-12.468370614359227,1.0048212913472436
-12.467370614359227,1.0049205924993887
-12.466370614359228,1.0050209184004497
-12.465370614359228,1.0051222695580564
-12.464370614359229,1.0052246464851486
-12.46337061435923,1.0053280496999837
-12.46237061435923,1.0054324797261425
-12.46137061435923,1.0055379370925364
-12.460370614359231,1.0056444223334131
-12.459370614359232,1.0057519359883642
-12.458370614359232,1.0058604786023306
-12.457370614359233,1.005970050725611
-12.456370614359233,1.006080652913867
-12.455370614359234,1.0061922857281316
-12.454370614359235,1.0063049497348149
-12.453370614359235,1.0064186455057116
-12.452370614359236,1.0065333736180087
-12.451370614359236,1.006649134654292
-12.450370614359237,1.0067659292025537
-12.449370614359237,1.0068837578561995
-12.448370614359238,1.007002621214056
-12.447370614359238,1.0071225198803784
-12.446370614359239,1.0072434544648583
-12.44537061435924,1.0073654255826308
-12.44437061435924,1.0074884338542822
-12.44337061435924,1.0076124799058581
-12.442370614359241,1.007737564368871
-12.441370614359242,1.007863687880309
-12.440370614359242,1.0079908510826416
-12.439370614359243,1.0081190546238308
-12.438370614359243,1.0082482991573365
-12.437370614359244,1.008378585342127
-12.436370614359245,1.0085099138426847
-12.435370614359245,1.0086422853290171
-12.434370614359246,1.0087757004766635
-12.433370614359246,1.0089101599667036
-12.432370614359247,1.0090456644857675
-12.431370614359247,1.009182214726042
-12.430370614359248,1.009319811385282
-12.429370614359248,1.0094584551668162
-12.428370614359249,1.0095981467795592
-12.42737061435925,1.0097388869380177
-12.42637061435925,1.0098806763623016
-12.42537061435925,1.0100235157781314
-12.424370614359251,1.0101674059168486
-12.423370614359252,1.0103123475154243
-12.422370614359252,1.0104583413164685
-12.421370614359253,1.0106053880682402
-12.420370614359253,1.0107534885246559
-12.419370614359254,1.010902643445299
-12.418370614359254,1.011052853595431
-12.417370614359255,1.011204119746
-12.416370614359256,1.0113564426736499
-12.415370614359256,1.0115098231607313
-12.414370614359257,1.0116642619953116
-12.413370614359257,1.0118197599711838
-12.412370614359258,1.0119763178878778
-12.411370614359258,1.0121339365506694
-12.410370614359259,1.0122926167705921
-12.40937061435926,1.0124523593644457
-12.40837061435926,1.0126131651548076
-12.40737061435926,1.0127750349700435
-12.406370614359261,1.0129379696443173
-12.405370614359262,1.0131019700176018
-12.404370614359262,1.0132670369356904
-12.403370614359263,1.0134331712502065
-12.402370614359263,1.013600373818615
-12.401370614359264,1.0137686455042336
-12.400370614359264,1.013937987176243
-12.399370614359265,1.0141083997096993
-12.398370614359266,1.0142798839855436
-12.397370614359266,1.0144524408906146
-12.396370614359267,1.014626071317659
-12.395370614359267,1.0148007761653435
-12.394370614359268,1.0149765563382667
-12.393370614359268,1.0151534127469697
-12.392370614359269,1.0153313463079483
-12.39137061435927,1.015510357943665
-12.39037061435927,1.0156904485825604
-12.38937061435927,1.0158716191590658
-12.388370614359271,1.0160538706136142
-12.387370614359272,1.0162372038926533
-12.386370614359272,1.0164216199486578
-12.385370614359273,1.0166071197401405
-12.384370614359273,1.0167937042316662
-12.383370614359274,1.016981374393863
-12.382370614359274,1.0171701312034354
-12.381370614359275,1.0173599756431766
-12.380370614359276,1.0175509087019816
-12.379370614359276,1.0177429313748596
-12.378370614359277,1.017936044662947
-12.377370614359277,1.018130249573521
-12.376370614359278,1.0183255471200114
-12.375370614359278,1.0185219383220145
-12.374370614359279,1.0187194242053073
-12.37337061435928,1.018918005801858
-12.37237061435928,1.019117684149843
-12.37137061435928,1.0193184602936578
-12.370370614359281,1.0195203352839315
-12.369370614359282,1.0197233101775405
-12.368370614359282,1.019927386037622
-12.367370614359283,1.020132563933588
-12.366370614359283,1.0203388449411404
-12.365370614359284,1.0205462301422825
-12.364370614359284,1.0207547206253353
-12.363370614359285,1.020964317484951
-12.362370614359286,1.0211750218221276
-12.361370614359286,1.0213868347442225
-12.360370614359287,1.0215997573649682
-12.359370614359287,1.0218137908044862
-12.358370614359288,1.0220289361893018
-12.357370614359288,1.0222451946523585
-12.356370614359289,1.0224625673330339
-12.35537061435929,1.022681055377154
-12.35437061435929,1.0229006599370607
-12.35337061435929,1.0231213821714193
-12.352370614359291,1.0233432232455424
-12.351370614359292,1.0235661843312016
-12.350370614359292,1.0237902666066936
-12.349370614359293,1.0240154712568548
-12.348370614359293,1.024241799473079
-12.347370614359294,1.0244692524533303
-12.346370614359294,1.024697831402162
-12.345370614359295,1.0249275375307303
-12.344370614359296,1.0251583720568107
-12.343370614359296,1.0253903362048156
-12.342370614359297,1.025623431205809
-12.341370614359297,1.0258576582975236
-12.340370614359298,1.0260930187243766
-12.339370614359298,1.026329513737488
-12.338370614359299,1.026567144594694
-12.3373706143593,1.026805912560568
-12.3363706143593,1.0270458189064335
-12.3353706143593,1.027286864910384
-12.334370614359301,1.0275290518572977
-12.333370614359302,1.027772381038857
-12.332370614359302,1.0280168537535643
-12.331370614359303,1.0282624713067594
-12.330370614359303,1.0285092350106377
-12.329370614359304,1.0287571461842677
-12.328370614359304,1.0290062061536076
-12.327370614359305,1.029256416251525
-12.326370614359305,1.0295077778178128
-12.325370614359306,1.029760292199209
-12.324370614359307,1.0300139607494139
-12.323370614359307,1.0302687848291083
-12.322370614359308,1.030524765805972
-12.321370614359308,1.0307819050547027
-12.320370614359309,1.0310402039570339
-12.31937061435931,1.0312996639017538
-12.31837061435931,1.0315602862847248
-12.31737061435931,1.0318220725089013
-12.316370614359311,1.0320850239843493
-12.315370614359312,1.0323491421282653
-12.314370614359312,1.032614428364996
-12.313370614359313,1.0328808841260573
-12.312370614359313,1.0331485108501532
-12.311370614359314,1.0334173099831978
-12.310370614359314,1.0336872829783308
-12.309370614359315,1.0339584312959416
-12.308370614359315,1.0342307564036863
-12.307370614359316,1.0345042597765097
-12.306370614359317,1.034778942896664
-12.305370614359317,1.03505480725373
-12.304370614359318,1.0353318543446366
-12.303370614359318,1.035610085673683
-12.302370614359319,1.035889502752557
-12.30137061435932,1.036170107100358
-12.30037061435932,1.0364519002436166
-12.29937061435932,1.0367348837163153
-12.298370614359321,1.0370190590599113
-12.297370614359322,1.037304427823356
-12.296370614359322,1.0375909915631174
-12.295370614359323,1.0378787518432009
-12.294370614359323,1.0381677102351707
-12.293370614359324,1.038457868318174
-12.292370614359324,1.0387492276789585
-12.291370614359325,1.0390417899118989
-12.290370614359325,1.0393355566190159
-12.289370614359326,1.03963052941
-12.288370614359327,1.0399267099022325
-12.287370614359327,1.04022409972081
-12.286370614359328,1.0405227004985655
-12.285370614359328,1.0408225138760914
-12.284370614359329,1.0411235415017621
-12.28337061435933,1.0414257850317592
-12.28237061435933,1.0417292461300904
-12.28137061435933,1.0420339264686176
-12.280370614359331,1.0423398277270763
-12.279370614359332,1.042646951593102
-12.278370614359332,1.042955299762252
-12.277370614359333,1.0432648739380306
-12.276370614359333,1.0435756758319112
-12.275370614359334,1.043887707163363
-12.274370614359334,1.0442009696598726
-12.273370614359335,1.0445154650569706
-12.272370614359335,1.0448311950982538
-12.271370614359336,1.045148161535412
-12.270370614359337,1.0454663661282513
-12.269370614359337,1.0457858106447198
-12.268370614359338,1.0461064968609322
-12.267370614359338,1.0464284265611954
-12.266370614359339,1.046751601538033
-12.26537061435934,1.0470760235922119
-12.26437061435934,1.0474016945327673
-12.26337061435934,1.047728616177028
-12.262370614359341,1.0480567903506437
-12.261370614359342,1.0483862188876094
-12.260370614359342,1.0487169036302926
-12.259370614359343,1.0490488464294592
-12.258370614359343,1.049382049144301
-12.257370614359344,1.0497165136424607
-12.256370614359344,1.0500522418000593
-12.255370614359345,1.0503892355017237
-12.254370614359345,1.0507274966406137
-12.253370614359346,1.0510670271184477
-12.252370614359346,1.0514078288455322
-12.251370614359347,1.0517499037407878
-12.250370614359348,1.052093253731778
-12.249370614359348,1.0524378807547359
-12.248370614359349,1.0527837867545926
-12.24737061435935,1.0531309736850067
-12.24637061435935,1.05347944350839
-12.24537061435935,1.0538291981959385
-12.244370614359351,1.054180239727659
-12.243370614359351,1.0545325700923998
-12.242370614359352,1.0548861912878773
-12.241370614359353,1.0552411053207085
-12.240370614359353,1.0555973142064357
-12.239370614359354,1.055954819969561
-12.238370614359354,1.056313624643571
-12.237370614359355,1.0566737302709703
-12.236370614359355,1.0570351389033095
-12.235370614359356,1.057397852601216
-12.234370614359356,1.057761873434424
-12.233370614359357,1.0581272034818046
-12.232370614359358,1.058493844831397
-12.231370614359358,1.0588617995804388
-12.230370614359359,1.0592310698353973
-12.22937061435936,1.059601657712
-12.22837061435936,1.0599735653352667
-12.22737061435936,1.0603467948395402
-12.226370614359361,1.060721348368518
-12.225370614359361,1.0610972280752846
-12.224370614359362,1.0614744361223434
-12.223370614359363,1.0618529746816472
-12.222370614359363,1.0622328459346335
-12.221370614359364,1.0626140520722545
-12.220370614359364,1.0629965952950104
-12.219370614359365,1.0633804778129832
-12.218370614359365,1.0637657018458682
-12.217370614359366,1.0641522696230086
-12.216370614359366,1.0645401833834276
-12.215370614359367,1.0649294453758638
-12.214370614359368,1.0653200578588025
-12.213370614359368,1.065712023100512
-12.212370614359369,1.0661053433790755
-12.21137061435937,1.066500020982428
-12.21037061435937,1.0668960582083888
-12.20937061435937,1.0672934573646964
-12.20837061435937,1.0676922207690445
-12.207370614359371,1.068092350749116
-12.206370614359372,1.0684938496426184
-12.205370614359373,1.0688967197973203
-12.204370614359373,1.0693009635710855
-12.203370614359374,1.0697065833319102
-12.202370614359374,1.070113581457958
-12.201370614359375,1.070521960337597
-12.200370614359375,1.0709317223694361
-12.199370614359376,1.0713428699623604
-12.198370614359376,1.071755405535571
-12.197370614359377,1.0721693315186176
-12.196370614359378,1.0725846503514407
-12.195370614359378,1.0730013644844052
-12.194370614359379,1.0734194763783402
-12.19337061435938,1.073838988504576
-12.19237061435938,1.0742599033449827
-12.19137061435938,1.0746822233920075
-12.19037061435938,1.0751059511487149
-12.189370614359381,1.075531089128823
-12.188370614359382,1.0759576398567456
-12.187370614359383,1.076385605867628
-12.186370614359383,1.076814989707389
-12.185370614359384,1.0772457939327593
-12.184370614359384,1.0776780211113206
-12.183370614359385,1.078111673821547
-12.182370614359385,1.0785467546528453
-12.181370614359386,1.0789832662055932
-12.180370614359386,1.0794212110911832
-12.179370614359387,1.0798605919320603
-12.178370614359388,1.0803014113617664
-12.177370614359388,1.0807436720249788
-12.176370614359389,1.0811873765775528
-12.17537061435939,1.0816325276865646
-12.17437061435939,1.082079128030351
-12.17337061435939,1.082527180298554
-12.17237061435939,1.0829766871921624
-12.171370614359391,1.0834276514235541
-12.170370614359392,1.083880075716539
-12.169370614359392,1.0843339628064028
-12.168370614359393,1.0847893154399513
-12.167370614359394,1.0852461363755517
-12.166370614359394,1.0857044283831783
-12.165370614359395,1.0861641942444564
-12.164370614359395,1.0866254367527066
-12.163370614359396,1.0870881587129892
-12.162370614359396,1.087552362942149
-12.161370614359397,1.0880180522688616
-12.160370614359397,1.088485229533677
-12.159370614359398,1.0889538975890667
-12.158370614359399,1.089424059299469
-12.1573706143594,1.089895717541335
-12.1563706143594,1.0903688752031757
-12.1553706143594,1.0908435351856074
-12.1543706143594,1.0913197004014006
-12.153370614359401,1.0917973737755249
-12.152370614359402,1.0922765582451983
-12.151370614359402,1.0927572567599337
-12.150370614359403,1.0932394722815877
-12.149370614359404,1.0937232077844081
-12.148370614359404,1.094208466255083
-12.147370614359405,1.0946952506927896
-12.146370614359405,1.0951835641092422
-12.145370614359406,1.0956734095287428
-12.144370614359406,1.0961647899882303
-12.143370614359407,1.0966577085373304
-12.142370614359407,1.0971521682384047
-12.141370614359408,1.0976481721666027
-12.140370614359409,1.0981457234099121
-12.13937061435941,1.0986448250692087
-12.13837061435941,1.0991454802583085
-12.13737061435941,1.0996476921040204
-12.13637061435941,1.100151463746195
-12.135370614359411,1.1006567983377797
-12.134370614359412,1.1011636990448703
-12.133370614359412,1.101672169046762
-12.132370614359413,1.102182211536005
-12.131370614359414,1.1026938297184559
-12.130370614359414,1.103207026813332
-12.129370614359415,1.1037218060532659
-12.128370614359415,1.1042381706843578
-12.127370614359416,1.1047561239662318
-12.126370614359416,1.1052756691720902
-12.125370614359417,1.1057968095887676
-12.124370614359417,1.1063195485167878
-12.123370614359418,1.1068438892704189
-12.122370614359419,1.1073698351777286
-12.121370614359419,1.1078973895806425
-12.12037061435942,1.1084265558349986
-12.11937061435942,1.1089573373106048
-12.11837061435942,1.1094897373912977
-12.117370614359421,1.110023759474998
-12.116370614359422,1.1105594069737708
-12.115370614359422,1.1110966833138816
-12.114370614359423,1.111635591935856
-12.113370614359424,1.1121761362943465
-12.112370614359424,1.1127183198589556
-12.111370614359425,1.1132621461131575
-12.110370614359425,1.1138076185551102
-12.109370614359426,1.1143547406975303
-12.108370614359426,1.1149035160677527
-12.107370614359427,1.1154539482077925
-12.106370614359427,1.116006040674405
-12.105370614359428,1.116559797039148
-12.104370614359429,1.1171152208884443
-12.103370614359429,1.1176723158236423
-12.10237061435943,1.1182310854610815
-12.10137061435943,1.1187915334321528
-12.10037061435943,1.119353663383363
-12.099370614359431,1.119917478976399
-12.098370614359432,1.1204829838881913
-12.097370614359432,1.1210501818109784
-12.096370614359433,1.1216190764523724
-12.095370614359434,1.1221896715354231
-12.094370614359434,1.1227619707986847
-12.093370614359435,1.1233359779962815
-12.092370614359435,1.1239116968979728
-12.091370614359436,1.1244891312892218
-12.090370614359436,1.1250682849712614
-12.089370614359437,1.1256491617611621
-12.088370614359437,1.1262317654918994
-12.087370614359438,1.1268161000124222
-12.086370614359438,1.127402169187722
-12.085370614359439,1.1279899768989015
-12.08437061435944,1.1285795270432433
-12.08337061435944,1.1291708235342814
-12.08237061435944,1.1297638703018698
-12.081370614359441,1.1303586712922533
-12.080370614359442,1.1309552304681398
-12.079370614359442,1.1315535518087707
-12.078370614359443,1.132153639309993
-12.077370614359443,1.1327554969843305
-12.076370614359444,1.133359128861058
-12.075370614359445,1.1339645389862747
-12.074370614359445,1.134571731422975
-12.073370614359446,1.1351807102511258
-12.072370614359446,1.135791479567738
