X,f(X)
-12.566370614359172,6.868756857151125E36
-12.565370614359173,1.0010014992749227E9
-12.564370614359174,1.2525075073962897E8
-12.563370614359174,3.714864896661047E7
-12.562370614359175,1.5687875832695683E7
-12.561370614359175,8040300.837506608
-12.560370614359176,4657658.247473012
-12.559370614359176,2936075.185932375
-12.558370614359177,1968938.3434785234
-12.557370614359177,1384255.3030906809
-12.556370614359178,1010150.8463217291
-12.555370614359179,759716.4750330255
-12.55437061435918,585773.9971807313
-12.55337061435918,461199.5303892187
-12.55237061435918,369641.52225822874
-12.55137061435918,300841.5937754339
-12.550370614359181,248141.4793635173
-12.549370614359182,207090.92286035125
-12.548370614359182,174638.37416629793
-12.547370614359183,148643.73631812973
-12.546370614359184,127575.85967603233
-12.545370614359184,110319.56308905229
-12.544370614359185,96049.50996809274
-12.543370614359185,84145.9692787317
-12.542370614359186,74137.43907053885
-12.541370614359186,65660.86632861497
-12.540370614359187,58433.616865133205
-12.539370614359187,52233.430089000736
-12.538370614359188,46883.88782334134
-12.537370614359189,42243.74755323857
-12.536370614359189,38199.02115165148
-12.53537061435919,34657.02888476642
-12.53437061435919,31541.891305414254
-12.53337061435919,28791.07931887988
-12.532370614359191,26352.75094439744
-12.531370614359192,24183.678537364725
-12.530370614359192,22247.62315917871
-12.529370614359193,20514.050416498376
-12.528370614359194,18957.109133491478
-12.527370614359194,17554.813840645333
-12.526370614359195,16288.386430033515
-12.525370614359195,15141.722937681403
-12.524370614359196,14100.959315044247
-12.523370614359196,13154.115981156318
-12.522370614359197,12290.805429669723
-12.521370614359197,11501.990577553148
-12.520370614359198,10779.78415744187
-12.519370614359199,10117.281472529503
-12.518370614359199,9508.420397757909
-12.5173706143592,8947.863732211214
-12.5163706143592,8430.899965810077
-12.5153706143592,7953.359279215868
-12.514370614359201,7511.542195047307
-12.513370614359202,7102.158775837237
-12.512370614359202,6722.276646165886
-12.511370614359203,6369.276423490608
-12.510370614359204,6040.813390107399
-12.509370614359204,5734.78443964602
-12.508370614359205,5449.299495056068
-12.507370614359205,5182.6567286576565
-12.506370614359206,4933.32102438705
-12.505370614359206,4699.9052125170765
